stadium_id,stadium_name,city,country,latitude,longitude,capacity,pitch_type,pitch_nature,average_1st_innings_score,average_2nd_innings_score,pace_assistance,spin_assistance,bounce,seam_movement,dew_factor,average_boundary_size_m,outfield_speed,toss_advantage,day_night,weather_type,average_temperature_c,average_humidity_pct,average_wind_speed_kmh,rain_risk,home_team
ST001,Narendra Modi Stadium,Ahmedabad,India,23.0916,72.597,132000,Balanced,Hard/true,170,158,Medium,Low,High,Low,Medium,67,Fast,Chasing,Yes,Hot & Dry,28,55,12,High,Gujarat Titans
ST002,M. Chinnaswamy Stadium,Bengaluru,India,12.9788,77.5996,40000,Batting Friendly,Flat,178,168,Low,Medium,Medium,Low,High,65,Fast,Chasing,Yes,Warm & Semi-Humid,24,65,12,Medium,Royal Challengers Bengaluru
ST003,Wankhede Stadium,Mumbai,India,18.9389,72.8258,33000,Batting Friendly,Hard/true,180,170,Medium,Low,High,Low,High,66,Fast,Chasing,Yes,Hot & Humid,28,75,15,High,Mumbai Indians
ST004,Eden Gardens,Kolkata,India,22.5646,88.3433,68000,Batting Friendly,Hard/true,175,164,Medium,Medium,Medium,Low,High,67,Fast,Chasing,Yes,Hot & Humid,27,72,10,High,Kolkata Knight Riders
ST005,M. A. Chidambaram Stadium,Chennai,India,13.0627,80.2792,38000,Spin Friendly,Dry/slow,165,154,Low,High,Medium,Low,High,65,Medium,Chasing,Yes,Hot & Humid,29,72,15,High,Chennai Super Kings
ST006,Arun Jaitley Stadium,Delhi,India,28.6377,77.2433,35000,Balanced,Dry/variable,170,158,Medium,Medium,Medium,Low,Medium,64,Medium,Chasing,Yes,Hot & Dry,25,55,10,Medium,Delhi Capitals
ST007,Rajiv Gandhi International Cricket Stadium,Hyderabad,India,17.4065,78.5505,39000,Batting Friendly,Hard/true,175,165,Medium,Low,High,Low,Medium,67,Fast,Chasing,Yes,Hot & Dry,27,60,12,Medium,Sunrisers Hyderabad
ST008,Punjab Cricket Association IS Bindra Stadium,Mohali,India,30.69,76.738,27000,Pace Friendly,Hard/true,170,157,High,Low,High,Medium,Low,68,Fast,Batting First,Yes,Hot & Semi-Dry,23,60,10,Medium,Punjab Kings
ST009,Sawai Mansingh Stadium,Jaipur,India,26.8969,75.8031,30000,Balanced,Hard/true,171,158,Medium,Low,Medium,Low,Medium,67,Fast,Chasing,Yes,Hot & Dry,26,50,13,Low,Rajasthan Royals
ST010,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,India,26.8124,80.902,50000,Spin Friendly,Slow/low,160,150,Low,High,Low,Low,Medium,68,Medium,Batting First,Yes,Hot & Semi-Dry,26,60,8,Medium,Lucknow Super Giants
ST011,Himachal Pradesh Cricket Association Stadium,Dharamsala,India,32.197,76.325,23000,Pace Friendly,Seaming,165,153,High,Low,High,High,Low,65,Fast,Batting First,Yes,Cool & Mountain,18,65,12,Medium,Himachal Pradesh
ST012,M. P. Shahid Veer Narayan Singh International Cricket Stadium,Raipur,India,21.2514,81.6296,65000,Balanced,Hard/true,165,155,Medium,Medium,Medium,Low,Medium,68,Fast,Chasing,Yes,Warm & Semi-Dry,26,65,9,Medium,Chhattisgarh
ST013,Barsapara Cricket Stadium,Guwahati,India,26.1445,91.7362,40000,Batting Friendly,Hard/true,170,160,Medium,Low,High,Low,High,68,Fast,Chasing,Yes,Hot & Humid,25,75,8,High,Assam
ST014,Greenfield International Stadium,Thiruvananthapuram,India,8.523,76.88,50000,Balanced,Hard/true,165,155,Medium,Medium,Medium,Low,High,68,Fast,Chasing,Yes,Hot & Humid,27,78,12,High,Kerala
